slice	0	1	2	3	4	5	6	7	8	9	10	11
[62.0, 63.0)	0.111	0.236	0.444	0.444	0.444	0.0	0.875	0.111	0.111	0.111	0.0	0.111
[63.0, 64.0)	0.444	0.444	0.0	0.0	0.0	0.111	1.111	0.0	0.0	0.111	0.111	0.0
[64.0, 65.0)	0.111	0.111	0.444	0.444	0.444	0.0	1.0	0.111	0.111	0.111	0.0	0.111
[65.0, 66.0)	0.444	0.444	0.0	0.0	0.0	0.111	4.111	0.0	0.0	0.111	0.111	0.0
[66.0, 67.0)	0.111	0.111	0.444	0.444	0.444	0.0	1.75	0.611	0.111	0.111	0.0	0.111
[67.0, 68.0)	0.444	0.444	0.0	0.0	0.0	0.111	4.111	0.0	0.0	0.111	0.111	0.0
[68.0, 69.0)	0.111	0.111	0.444	0.444	0.444	0.0	2.625	0.111	0.111	0.111	0.5	0.111
[69.0, 70.0)	0.444	0.444	0.0	0.0	0.0	0.111	4.111	0.0	0.0	0.111	0.111	0.0
[70.0, 71.0)	0.111	0.611	0.444	0.444	0.444	0.0	1.75	0.111	0.111	0.111	0.0	0.111
[71.0, 72.0)	0.444	0.444	0.0	0.0	0.0	0.111	4.111	0.0	0.0	0.111	0.111	0.0
[72.0, 73.0)	0.111	0.111	0.444	0.444	0.444	0.0	4.0	0.111	0.111	0.111	0.0	0.111
[73.0, 74.0)	2.25	0.0	0.125	0.0	1.125	0.0	3.0	0.0	0.0	0.0	2.0	0.0
[74.0, 75.0)	2.125	0.0	0.625	0.0	0.875	0.0	3.875	0.0	0.625	0.0	1.625	0.0
[75.0, 76.0)	2.25	0.0	0.125	0.0	1.125	0.0	3.0	0.0	0.0	0.0	2.0	0.0
[76.0, 77.0)	2.125	0.0	0.125	0.0	1.375	0.0	3.875	0.0	0.625	0.0	1.625	0.0
[77.0, 78.0)	2.25	0.0	0.125	0.0	1.125	0.0	3.0	0.0	0.0	0.0	2.0	0.0
[78.0, 79.0)	1.875	0.0	0.125	0.0	1.125	0.0	3.625	0.0	0.625	0.0	1.625	0.0
[79.0, 80.0)	2.25	0.0	0.125	0.0	1.125	0.0	3.0	0.0	0.0	0.0	2.0	0.0
[80.0, 81.0)	2.125	0.0	0.125	0.0	0.875	0.0	3.625	0.0	0.375	0.0	1.625	0.0
[81.0, 82.0)	0.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	3.835	0.0
[82.0, 83.0)	0.0	0.5	1.0	0.0	1.0	1.0	3.5	0.0	0.5	0.0	3.0	0.0
[83.0, 84.0)	1.5	0.0	0.5	0.75	0.0	0.25	3.5	0.0	2.75	0.0	0.75	0.0
[84.0, 85.0)	2.5	0.0	0.0	0.5	1.0	0.0	3.0	0.0	2.0	0.0	1.0	0.0
[85.0, 86.0)	0.0	0.0	1.5	0.0	1.0	0.5	1.5	0.0	1.0	0.0	2.5	0.0
[86.0, 87.0)	2.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.835	0.0
[87.0, 88.0)	2.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.5	0.0
[88.0, 89.0)	0.0	1.0	0.0	2.0	0.0	2.0	3.0	0.0	0.0	2.0	0.0	0.0
[89.0, 90.0)	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.835	0.0
[90.0, 91.0)	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	3.0020000000000002	0.0
[91.0, 92.0)	3.501	0.0	0.501	0.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0
[92.0, 93.0)	3.501	0.0	0.501	0.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0
[93.0, 94.0)	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	2.835	0.0
[94.0, 95.0)	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	3.0020000000000002	0.0
[95.0, 96.0)	3.501	0.0	0.501	0.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0
[96.0, 97.0)	3.501	0.0	0.501	0.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0
[97.0, 98.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[98.0, 99.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[99.0, 100.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[100.0, 101.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[101.0, 102.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[102.0, 103.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0
[103.0, 104.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[104.0, 105.0)	0.501	0.0	0.334	0.0	0.0	0.0	1.167	0.0	0.0	0.0	0.0	0.0
[105.0, 106.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[106.0, 107.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[107.0, 108.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[108.0, 109.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.0
[109.0, 110.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0
[110.0, 111.0)	0.501	0.0	0.334	0.0	0.0	0.0	1.167	0.0	0.0	0.0	0.0	0.0
[111.0, 112.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[112.0, 113.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0
[113.0, 114.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167
[114.0, 115.0)	0.501	0.0	0.334	0.0	0.0	0.0	1.167	0.0	0.0	0.0	0.0	0.0
[115.0, 116.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[116.0, 117.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[117.0, 118.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[118.0, 119.0)	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[119.0, 120.0)	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[120.0, 121.0)	0.0	0.0	0.25	0.25	0.25	0.25	0.0	0.0	0.0	0.0	0.0	0.0
[121.0, 122.0)	0.0	0.0	0.0	1.167	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0
[122.0, 123.0)	0.0	0.0	0.0	0.0	0.501	0.0	0.334	0.0	0.0	0.0	1.167	0.0
[123.0, 124.0)	0.0	1.167	0.0	0.0	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0
[124.0, 125.0)	0.0	0.0	0.0	1.167	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0
[125.0, 126.0)	0.0	0.0	0.0	0.0	0.501	0.0	0.334	0.0	0.0	0.0	1.167	0.0
[126.0, 127.0)	0.0	1.667	0.0	0.0	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0
[127.0, 128.0)	0.0	1.0	0.0	0.0	0.501	0.0	0.501	0.0	0.0	0.0	0.0	0.0
[128.0, 129.0)	0.0	0.0	1.667	0.0	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0
[129.0, 130.0)	0.0	0.0	0.0	1.167	0.0	0.501	0.0	0.334	0.0	0.0	0.0	0.0
[130.0, 131.0)	0.0	0.0	0.0	0.0	1.167	0.0	0.501	0.0	0.334	0.0	0.0	0.0
[131.0, 132.0)	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.501	0.0	0.334	0.0	0.0
[132.0, 133.0)	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.501	0.0	0.334	0.0
[133.0, 134.0)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.501	0.0	0.334
[134.0, 135.0)	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.501	0.0
[135.0, 136.0)	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0	0.501
[136.0, 137.0)	0.501	0.0	0.334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.167	0.0
[137.0, 138.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
[138.0, 139.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0
[139.0, 140.0)	0.0	0.996	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0
[140.0, 141.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
[141.0, 142.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[142.0, 143.0)	0.0	0.996	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0
[143.0, 144.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
[144.0, 145.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0
[145.0, 146.0)	0.0	0.996	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
[146.0, 147.0)	0.0	1.0	0.0	3.415	0.0	2.249	0.166	0.0	0.249	0.0	0.166	0.41500000000000004
[147.0, 148.0)	0.0	1.0	0.0	3.498	0.0	2.249	0.249	0.0	0.249	0.0	0.249	0.498
[148.0, 149.0)	0.0	1.166	0.0	3.498	0.0	2.166	0.332	0.0	0.249	0.0	0.249	0.332
[149.0, 150.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
[150.0, 151.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0
[151.0, 152.0)	0.0	0.996	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0
[152.0, 153.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
[153.0, 154.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[154.0, 155.0)	0.0	0.996	0.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0
[155.0, 156.0)	0.0	2.996	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[156.0, 157.0)	0.0	0.996	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[157.0, 158.0)	0.0	0.996	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
[158.0, 159.0)	0.0	1.0	0.0	3.415	0.0	2.249	0.166	0.0	0.249	0.0	0.166	0.41500000000000004
[159.0, 160.0)	0.0	1.0	0.0	3.498	0.0	2.249	0.249	0.0	0.249	0.0	0.249	0.498
[160.0, 161.0)	0.0	1.166	0.0	3.498	0.0	2.166	0.332	0.0	0.249	0.0	0.249	0.332
[161.0, 162.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.167	0.334	0.0	0.167	0.0	0.334	0.501
[162.0, 163.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.334	0.167	0.0	0.334	0.0	0.167	0.501
[163.0, 164.0)	0.0	0.334	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.167	0.0	0.334	0.167
[164.0, 165.0)	0.0	0.167	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.334	0.0	0.167	0.334
[165.0, 166.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.167	0.334	0.0	0.167	0.0	0.334	0.501
[166.0, 167.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.334	0.167	0.0	0.334	0.0	0.167	0.501
[167.0, 168.0)	0.0	0.334	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.167	0.0	0.334	0.167
[168.0, 169.0)	0.0	0.167	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.334	0.0	0.167	0.334
[169.0, 170.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.167	0.334	0.0	0.167	0.0	0.334	0.501
[170.0, 171.0)	0.0	0.0	0.0	1.5010000000000001	0.0	0.334	0.167	0.0	0.334	0.0	0.167	0.501
[171.0, 172.0)	0.0	0.334	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.167	0.0	0.334	0.167
[172.0, 173.0)	0.0	0.167	0.0	1.5010000000000001	0.0	0.0	0.501	0.0	0.334	0.0	0.167	0.334
[173.0, 174.0)	0.167	0.501	0.501	0.334	0.0	0.167	0.167	0.167	0.167	0.167	0.167	0.0
[174.0, 175.0)	0.167	0.167	0.0	0.167	0.501	0.501	0.334	0.0	0.167	0.167	0.167	0.167
[175.0, 176.0)	0.167	0.167	0.167	0.167	0.167	0.0	0.167	0.501	0.501	0.334	0.0	0.167
[176.0, 177.0)	0.334	0.167	0.0	0.167	0.167	0.167	0.167	0.167	0.0	0.167	0.501	0.501
[177.0, 178.0)	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
[178.0, 179.0)	0.0	0.5	0.0	2.0	0.0	0.0	0.5	0.5	0.0	0.5	0.5	0.5
[179.0, 180.0)	0.0	0.75	0.0	1.25	0.0	0.75	0.25	0.0	0.75	0.25	0.0	1.0
[180.0, 181.0)	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
[181.0, 182.0)	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0
[182.0, 183.0)	0.0	0.0	1.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0
[183.0, 184.0)	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0
[184.0, 185.0)	0.0	1.0	0.0	0.0	0.5	0.5	0.5	1.0	0.5	0.0	0.5	0.5
[185.0, 186.0)	0.0	1.5	0.0	2.0	0.0	0.0	0.5	2.0	0.0	0.0	1.5	0.0
[186.0, 187.0)	0.0	1.0	0.0	4.0	0.5	0.5	1.0	1.0	0.0	1.0	1.0	1.0
[187.0, 188.0)	0.0	1.5	0.0	2.5	0.0	1.5	0.5	0.0	1.5	0.5	0.0	2.0
[188.0, 189.0)	0.0	2.0	0.0	2.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0
[189.0, 190.0)	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	2.0
[190.0, 191.0)	0.0	0.0	2.0	1.8350000000000002	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0
[191.0, 192.0)	0.0	0.0	2.0	2.25	0.0	2.0	0.0	2.0	0.0	0.0	0.0	2.0
[192.0, 193.0)	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0
[193.0, 194.0)	0.0	0.0	0.0	2.835	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0
[194.0, 195.0)	0.0	0.0	0.0	3.0020000000000002	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0
[195.0, 196.0)	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0
[196.0, 197.0)	2.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
[197.0, 198.0)	0.0	2.0	0.0	2.5	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[198.0, 199.0)	0.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[199.0, 200.0)	0.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[200.0, 201.0)	0.0	2.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[201.0, 202.0)	0.0	2.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0
[202.0, 203.0)	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[203.0, 204.0)	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[204.0, 205.0)	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[205.0, 206.0)	0.562	0.0	0.062	0.0	0.0	1.0	1.062	0.0	0.0	0.062	0.0	0.0
[206.0, 207.0)	0.562	0.0	0.0	0.062	0.0	1.0	0.062	1.0	0.0	0.062	0.0	0.0
[207.0, 208.0)	0.562	0.0	0.062	1.0	0.0	0.0	1.062	0.0	0.0	0.062	0.0	0.0
[208.0, 209.0)	0.562	0.0	0.0	1.062	0.0	0.0	0.062	0.0	1.0	0.062	0.0	0.0
[209.0, 210.0)	1.124	0.0	0.062	0.062	0.0	0.0	2.124	0.0	0.0	0.124	0.0	0.0
[210.0, 211.0)	0.0	0.0	0.0	0.5	0.0	0.0	0.062	2.0	0.062	0.0	0.0	0.0
[211.0, 212.0)	1.124	0.0	0.062	0.062	0.0	0.0	2.124	0.0	0.0	0.124	0.0	0.0
[212.0, 213.0)	0.0	0.0	0.0	0.5	0.0	0.0	0.062	0.0	2.0620000000000003	0.0	0.0	0.0
[213.0, 214.0)	0.166	0.0	0.20800000000000002	0.0	0.0	0.0	2.458	0.0	0.0	0.166	0.0	0.0
[214.0, 215.0)	0.25	0.0	0.125	0.125	0.0	0.0	1.25	1.0	0.125	0.125	0.0	0.0
[215.0, 216.0)	0.25	0.0	0.125	0.125	0.0	0.0	2.25	0.0	0.125	0.125	0.0	0.0
[216.0, 217.0)	0.25	0.0	0.125	0.125	0.0	0.0	1.25	0.0	1.125	0.125	0.0	0.0
[217.0, 218.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[218.0, 219.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[219.0, 220.0)	0.25	0.0	0.125	0.125	0.0	0.0	0.25	0.0	0.125	0.125	0.0	0.0
[220.0, 221.0)	0.249	0.0	0.20800000000000002	0.125	0.0	0.0	0.20800000000000002	0.0	0.125	0.083	0.0	0.0
[221.0, 222.0)	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
[222.0, 223.0)	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
[223.0, 224.0)	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[224.0, 225.0)	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[225.0, 226.0)	4.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[226.0, 227.0)	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0
[227.0, 228.0)	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0
[228.0, 229.0)	1.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0
[229.0, 230.0)	3.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[230.0, 231.0)	3.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
[231.0, 232.0)	3.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
[232.0, 233.0)	2.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0
[233.0, 234.0)	0.0	1.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	0.0
